task_id,task_name,task_category,computational_step,classical_algorithm,typical_classical_runtime_ms,input_size_bytes,output_size_bytes,latency_budget_ms,deadline_class,classification_level,priority,network_required,quantum_candidate,quantum_algorithm,expected_quantum_speedup,error_tolerance
RF-01,IQ Ingest and AGC,RF Sensor Fusion,Automatic gain control and sample normalization on raw IQ stream,Lookup table / linear scaling,<1,variable,variable,1,hard-realtime,UNCLASS,3,local,N,none,none,n/a
RF-02,Polyphase Decimation,RF Sensor Fusion,Multi-rate filtering and sample rate conversion,Polyphase FIR filter,<1,variable,variable,1,hard-realtime,UNCLASS,3,local,N,none,none,n/a
RF-03,FFT (1k/4k/64k point),RF Sensor Fusion,Frequency domain transform of IQ samples,Cooley-Tukey FFT,<1 (1k) / 5 (64k),8-512 KB,4-256 KB,5,hard-realtime,UNCLASS,3,local,N,none,none,n/a
RF-04,Spectrogram / STFT,RF Sensor Fusion,Time-frequency representation via sliding FFT windows,Overlapped FFT + windowing,5-50,1-10 MB,500 KB-5 MB,50,hard-realtime,UNCLASS,3,local,N,none,none,n/a
RF-05,CFAR Detection,RF Sensor Fusion,Constant false alarm rate threshold detection on spectral data,CA-CFAR / OS-CFAR,1-10,100 KB-1 MB,1-10 KB,10,hard-realtime,UNCLASS,3,local,N,none,none,n/a
RF-06,PDW Extraction,RF Sensor Fusion,Pulse descriptor word extraction from detected signals,Threshold + feature extraction,1-5,10-100 KB,1-5 KB,10,hard-realtime,UNCLASS,3,local,N,none,none,n/a
RF-07,Specific Emitter Identification,RF Sensor Fusion,Classify individual emitter hardware from RF fingerprint,CNN / ResNet on IQ features,50-500,100 KB-1 MB,<1 KB,500,soft-realtime,CUI,2,edge-LAN,maybe,QSVM / quantum kernel,unproven,NISQ-tolerant
RF-08,Modulation Classification,RF Sensor Fusion,Identify modulation scheme of detected signal,CNN / expert features + SVM,20-200,50-500 KB,<1 KB,200,soft-realtime,CUI,2,edge-LAN,maybe,QSVM / quantum kernel,unproven,NISQ-tolerant
RF-09,MUSIC AoA Estimation,RF Sensor Fusion,Direction of arrival via subspace decomposition,Eigendecomposition + peak search,5-50,10-100 KB,<1 KB,50,hard-realtime,UNCLASS,3,local,N,none,none,n/a
RF-10,ESPRIT AoA Estimation,RF Sensor Fusion,Direction of arrival via rotational invariance,Eigendecomposition + least squares,5-50,10-100 KB,<1 KB,50,hard-realtime,UNCLASS,3,local,N,none,none,n/a
RF-11,MVDR / Capon Beamforming,RF Sensor Fusion,Adaptive beamforming via covariance matrix inversion,Matrix inversion (N x N),10-100,10-100 KB,10-100 KB,100,soft-realtime,UNCLASS,3,local,maybe,HHL linear system,unproven (FT-required),FT-required
RF-12,TDOA/FDOA/AOA Geolocation,RF Sensor Fusion,Multi-sensor emitter geolocation via time/frequency/angle differences,Least squares / iterative MLE,10-500,1-10 KB per sensor,<1 KB,500,soft-realtime,CUI,2,edge-LAN,maybe,HHL linear system,unproven (FT-required),FT-required
SM-01,Frequency Assignment (FAP),Spectrum Management,Assign frequencies to radios minimizing co-channel interference,Graph coloring / greedy + ILP,100-10000,1-100 KB,1-10 KB,10000,batch,CUI,2,edge-LAN,Y,QAOA / RQAOA,unproven (dequantized for regular bipartite),NISQ-tolerant
SM-02,Dynamic Spectrum Allocation,Spectrum Management,Real-time channel assignment across changing environment,Heuristic + constraint solver,50-500,10-100 KB,1-10 KB,500,soft-realtime,CUI,2,edge-LAN,maybe,QAOA,unproven,NISQ-tolerant
SM-03,Interference Deconfliction,Spectrum Management,Identify and resolve co-channel / adjacent-channel conflicts,Constraint satisfaction / ILP,100-5000,10-100 KB,1-10 KB,5000,batch,CUI,2,edge-LAN,maybe,QUBO,unproven,NISQ-tolerant
SM-04,Channel Ranking,Spectrum Management,Rank available channels by predicted quality,Multi-criteria scoring / bandit,10-100,1-10 KB,<1 KB,100,soft-realtime,UNCLASS,3,local,N,none,none,n/a
SM-05,Spectrum Hole Detection,Spectrum Management,Identify unused frequency-time-space slots,Energy detection + database lookup,5-50,100 KB-1 MB,1-10 KB,50,soft-realtime,UNCLASS,3,local,N,none,none,n/a
SM-06,Frame Error Prediction,Spectrum Management,Predict link quality degradation from spectral features,Gradient boosted trees / LSTM,10-100,10-100 KB,<1 KB,100,soft-realtime,UNCLASS,3,local,N,none,none,n/a
CUAS-01,Linear Kalman Filter,C-UAS Track Correlation,State estimation for linear-motion targets,Kalman filter (predict-update),<1,<1 KB,<1 KB,1,hard-realtime,UNCLASS,3,local,N,none,none,n/a
CUAS-02,Extended Kalman Filter,C-UAS Track Correlation,State estimation for nonlinear-motion targets,EKF (Jacobian linearization),1-5,<1 KB,<1 KB,5,hard-realtime,UNCLASS,3,local,N,none,none,n/a
CUAS-03,Unscented Kalman Filter,C-UAS Track Correlation,State estimation via sigma-point transform,UKF (sigma points),2-10,<1 KB,<1 KB,10,hard-realtime,UNCLASS,3,local,N,none,none,n/a
CUAS-04,Particle Filter,C-UAS Track Correlation,Sequential Monte Carlo state estimation,SIS/SIR particle filter,10-100,1-10 KB,<1 KB,100,soft-realtime,UNCLASS,3,local,N,none,none,n/a
CUAS-05,Multi-Hypothesis Tracking,C-UAS Track Correlation,Maintain multiple track association hypotheses,MHT (hypothesis tree pruning),100-10000,10-100 KB,1-10 KB,1000,soft-realtime,CUI,2,edge-LAN,maybe,QUBO (assignment sub-problem),unproven,NISQ-tolerant
CUAS-06,JPDA,C-UAS Track Correlation,Joint probabilistic data association for dense targets,JPDA (marginal association),50-5000,10-100 KB,1-10 KB,1000,soft-realtime,CUI,2,edge-LAN,maybe,QUBO (assignment sub-problem),unproven,NISQ-tolerant
CUAS-07,Hungarian Assignment,C-UAS Track Correlation,Optimal assignment of detections to tracks,Hungarian algorithm O(n^3),1-100,1-10 KB,<1 KB,100,soft-realtime,UNCLASS,3,local,maybe,QAOA / quantum annealing,unproven,NISQ-tolerant
CUAS-08,Track-to-Track Fusion,C-UAS Track Correlation,Fuse tracks from multiple sensor platforms,Covariance intersection / CI,5-50,1-10 KB,<1 KB,50,soft-realtime,CUI,2,edge-LAN,N,none,none,n/a
CUAS-09,Small-UAS CNN Classification,C-UAS Track Correlation,Classify drone type from EO/IR imagery,CNN (ResNet/YOLO),50-500,100 KB-5 MB,<1 KB,500,soft-realtime,CUI,2,edge-LAN,N,none,none,n/a
CUAS-10,Sensor Cueing / Handoff,C-UAS Track Correlation,Direct secondary sensor to track of interest,Geometric projection + priority queue,1-10,<1 KB,<1 KB,10,hard-realtime,UNCLASS,3,local,N,none,none,n/a
C2-01,COP Aggregation,JADC2 / C2,Fuse multi-source tracks into common operating picture,Database merge + dedup + conflict resolution,100-1000,10 KB-1 MB,10 KB-1 MB,1000,soft-realtime,SECRET,1,SATCOM-OK,N,none,none,n/a
